Statefip	County	SMSA	tract1	jurcode	borderno	block1	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	valprm	lnvalprm	house_ownocc	rentprm	lnrentprm	perblack	house_rent	peroo
39	113	Dayton	55	daytonoh	67	517	3	Y		1	364	0	0.34	0.008403361	0.890756303	13197.58673	9.487789268	99	107.1225071	4.673973106	0	19	0.838983051
39	113	Dayton	55	daytonoh	67	618	4			1	47	0	0.15	0	1	12764.32141	9.454409168	16	.	.	0	2	0.888888889
39	113	Dayton	54	daytonoh	67	217	1	Y		1	150	0	0.21	0	0.424657534	16714.88267	9.72405478	28	156.1561562	5.050856508	0	43	0.394366197
39	113	Dayton	54	daytonoh	67	301	1	Y		1	231	0	0.1	0	0.287878788	15107.68242	9.622958663	32	189.2473118	5.243054688	0	86	0.271186441
39	113	Dayton	54	daytonoh	67	409	1	Y		1	50	0	0.2	0	1	15760.26637	9.665247265	21	.	.	0	1	0.954545455
39	113	Dayton	54	daytonoh	67	411	1	Y		1	26	0	0.12	0	1	13725.4902	9.527009981	8	.	.	0	0	1
39	113	Dayton	54	daytonoh	67	412	1			1	29	0	0.21	0	1	15424.8366	9.643734256	10	.	.	0	0	1
39	113	Dayton	54	daytonoh	67	413	1	Y		1	56	0	0.34	0	0.777777778	15626.8568	9.656746303	14	.	.	0	3	0.823529412
39	113	Dayton	209	ketteroh	67	101	1	Y		1	272	0	0.28	0	0.366336634	14401.62272	9.575096168	30	125.6038647	4.833133024	0	67	0.309278351
39	113	Dayton	209	ketteroh	67	102	1			1	34	0	0	0	0	.	.	0	112.6614987	4.724387736	0	21	0
39	113	Dayton	210	ketteroh	67	101	1	Y		1	165	0	0.33	0	0.963636364	14775.91036	9.600753456	50	.	.	0	5	0.909090909
39	113	Dayton	210	ketteroh	67	102	1			1	88	0	0.39	0	1	12549.01961	9.437397823	20	.	.	0	4	0.833333333
39	113	Dayton	210	ketteroh	67	109	1			1	17	0	0.35	0	1	16209.15033	9.693331197	5	.	.	0	0	1
39	113	Dayton	210	ketteroh	67	110	1	Y		1	77	0	0.29	0	0.774193548	15067.07946	9.620267475	22	150.7936508	5.015912351	0	8	0.733333333
39	113	Dayton	210	ketteroh	67	113	1	Y		1	81	1	0.1	0	0.380952381	13184.58418	9.486803561	12	145.4545455	4.979863635	0	30	0.285714286
39	113	Dayton	211	ketteroh	67	101	1	Y		1	77	0	0.34	0.076923077	1	10084.03361	9.218708622	20	88.88888889	4.48738715	0	6	0.769230769
39	113	Dayton	211	ketteroh	67	102	1			1	26	0	0.35	0	1	11921.56863	9.386104528	7	.	.	0	3	0.7
39	113	Dayton	211	ketteroh	67	103	1			1	15	0	0.53	0	1	11217.51026	9.325231252	8	.	.	0	0	1
39	113	Dayton	211	ketteroh	67	104	1			1	30	0	0.37	0	1	9725.490196	9.182505573	9	.	.	0	1	0.9
39	113	Dayton	211	ketteroh	67	105	1			1	36	0	0.33	0.076923077	0.846153846	12149.17339	9.405016413	10	.	.	0	3	0.769230769
39	113	Dayton	211	ketteroh	67	106	1			1	13	0	0.15	0	1	11010.55807	9.306609916	6	.	.	0	0	1
39	113	Dayton	211	ketteroh	67	107	1			1	30	0	0.23	0	1	14039.21569	9.549609813	9	.	.	0.02	0	1
39	113	Dayton	211	ketteroh	67	108	2			1	57	0	0.25	0.05	1	10724.28972	9.280266515	16	.	.	0	3	0.842105263
39	113	Dayton	211	ketteroh	67	109	2			1	55	0	0.26	0	0.9	.	.	15	.	.	0	5	0.75
39	113	Dayton	211	ketteroh	67	110	2			1	62	0	0.24	0	1	10728.81983	9.280688842	20	.	.	0	1	0.952380952
39	113	Dayton	211	ketteroh	67	111	2			1	43	0	0.26	0	1	10487.9161	9.257979025	9	92.37472767	4.525853431	0	7	0.5625
39	113	Dayton	211	ketteroh	67	112	3			1	63	0	0.32	0	0.947368421	12379.8539	9.423825745	17	.	.	0	2	0.894736842
39	113	Dayton	211	ketteroh	67	113	3			1	40	0	0.35	0.066666667	0.866666667	9523.809524	9.161550208	11	.	.	0	4	0.733333333
