Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	peroo	valprm	lnvalprm	ct4_ooval	rentprm	lnrentprm	perblack	av_rooms_oo	av_value	av_rooms_rt	av_rent	ct2_occ
39	113	Dayton	0055	daytonoh	67	505	4			1	75	0	0.15	0	1	0.838709677	12841.21492	9.460415192	26	.	.	0	5.1	16700	0	0	31
39	113	Dayton	0055	daytonoh	67	506	3			1	72	0	0.21	0	1	0.896551724	11995.38639	9.392277387	26	.	.	0	5.1	15600	0	0	29
39	113	Dayton	0055	daytonoh	67	507	3			1	43	0	0.35	0	0.866666667	1	12971.34238	9.470497771	15	.	.	0	5.2	17200	0	0	15
39	113	Dayton	0055	daytonoh	67	508	5			1	75	0	0.25	0.035714286	1	0.892857143	13767.20901	9.530044885	25	.	.	0	4.7	16500	0	0	28
39	113	Dayton	0055	daytonoh	67	509	6			1	61	0	0.25	0	0.92	0.92	11294.11765	9.332037307	23	.	.	0	5	14400	0	0	25
39	113	Dayton	0055	daytonoh	67	510	8			1	83	0	0.16	0	0.777777778	0.75	11294.11765	9.332037307	27	126.50	4.840208525	0	5	14400	3.9	111	36
39	113	Dayton	0055	daytonoh	67	511	8			1	11	0	0.09	0	1	0.4	.	.	2	.	.	0	0	0	0	0	5
39	113	Dayton	0055	daytonoh	67	514	8			1	72	0	0.24	0	0.896551724	0.655172414	10784.31373	9.285847924	19	100.81	4.613267396	0	4.8	13200	4.1	93	29
39	113	Dayton	0055	daytonoh	67	515	7			1	55	0	0.16	0	1	0.909090909	12404.96198	9.425851832	20	.	.	0	4.9	15500	0	0	22
39	113	Dayton	0055	daytonoh	67	516	5	Y		1	124	0	0.24	0	0.68627451	0.607843137	13767.20901	9.530044885	31	123.72	4.818051045	0	4.7	16500	3.7	103	51
39	113	Dayton	0055	daytonoh	67	517	3	Y		1	364	0	0.34	0.008403361	0.890756303	0.831932773	13197.58673	9.487789268	99	107.12	4.673973106	0	5.2	17500	3.9	94	119
39	113	Dayton	0055	daytonoh	67	618	4			1	47	0	0.15	0	1	0.842105263	12764.32141	9.454409168	16	.	.	0	5.1	16600	0	0	19
39	113	Dayton	0054	daytonoh	67	217	1	Y		1	150	0	0.21	0	0.424657534	0.383561644	16714.88267	9.72405478	28	156.16	5.050856508	0	6.1	26000	3.7	130	73
39	113	Dayton	0054	daytonoh	67	301	1	Y		1	231	0	0.1	0	0.287878788	0.242424242	15107.68242	9.622958663	32	189.25	5.243054688	0	6.1	23500	3.1	132	132
39	113	Dayton	0054	daytonoh	67	409	1	Y		1	50	0	0.2	0	1	0.954545455	15760.26637	9.665247265	21	.	.	0	5.3	21300	0	0	22
39	113	Dayton	0054	daytonoh	67	411	1	Y		1	26	0	0.12	0	1	1	13725.4902	9.527009981	8	.	.	0	5.8	20300	0	0	8
