"pid","year","p.sec","p.gvn","pname"
610000,2000,"李建国(山东省)","程安东","陕西省"
310000,2000,"黄菊","徐匡迪","上海市"
620000,2000,"孙英","宋照肃","甘肃省"
320000,2000,"回良玉","季允石","江苏省"
420000,2000,"贾志杰","蒋祝平","湖北省"
360000,2000,"舒惠国","舒圣佑","江西省"
350000,2000,"陈明义","习近平","福建省"
440000,2000,"李长春","卢瑞华","广东省"
120000,2000,"张立昌","李盛霖","天津市"
650000,2000,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,2000,"杨正午","储波","湖南省"
500000,2000,"贺国强","包叙定","重庆市"
230000,2000,"徐有芳","宋法棠","黑龙江省"
530000,2000,"令狐安","李嘉廷","云南省"
210000,2000,"闻世震","张国光","辽宁省"
510000,2000,"周永康","张中伟","四川省"
140000,2000,"田成平","刘振华","山西省"
630000,2000,"白恩培","赵乐际","青海省"
150000,2000,"刘明祖","云布龙","内蒙古自治区"
220000,2000,"王云坤","洪虎","吉林省"
330000,2000,"张德江","柴松岳","浙江省"
450000,2000,"曹伯纯","李兆焯","广西壮族自治区"
460000,2000,"杜青林","汪啸风","海南省"
540000,2000,"陈奎元","列确","西藏自治区"
640000,2000,"毛如柏","马启智","宁夏回族自治区"
370000,2001,"吴官正","李春亭","山东省"
520000,2001,"钱运录","石秀诗","贵州省"
410000,2001,"陈奎元","李克强","河南省"
340000,2001,"王太华","许仲林","安徽省"
110000,2001,"贾庆林","刘淇","北京市"
130000,2001,"王旭东","钮茂生","河北省"
610000,2001,"李建国(山东省)","程安东","陕西省"
310000,2001,"黄菊","徐匡迪","上海市"
620000,2001,"宋照肃","陆浩","甘肃省"
320000,2001,"回良玉","季允石","江苏省"
420000,2001,"蒋祝平","张国光","湖北省"
360000,2001,"舒惠国","舒圣佑","江西省"
350000,2001,"宋德福","习近平","福建省"
440000,2001,"李长春","卢瑞华","广东省"
120000,2001,"张立昌","李盛霖","天津市"
650000,2001,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,2001,"杨正午","储波","湖南省"
500000,2001,"贺国强","包叙定","重庆市"
230000,2001,"徐有芳","宋法棠","黑龙江省"
530000,2001,"令狐安","李嘉廷","云南省"
210000,2001,"闻世震","薄熙来","辽宁省"
510000,2001,"周永康","张中伟","四川省"
140000,2001,"田成平","刘振华","山西省"
630000,2001,"白恩培","赵乐际","青海省"
150000,2001,"刘明祖","乌云其木格","内蒙古自治区"
220000,2001,"王云坤","洪虎","吉林省"
330000,2001,"张德江","柴松岳","浙江省"
450000,2001,"曹伯纯","李兆焯","广西壮族自治区"
460000,2001,"杜青林","汪啸风","海南省"
540000,2001,"郭金龙","列确","西藏自治区"
640000,2001,"毛如柏","马启智","宁夏回族自治区"
370000,2002,"吴官正","张高丽","山东省"
520000,2002,"钱运录","石秀诗","贵州省"
410000,2002,"陈奎元","李克强","河南省"
340000,2002,"王太华","许仲林","安徽省"
110000,2002,"贾庆林","刘淇","北京市"
130000,2002,"王旭东","钮茂生","河北省"
610000,2002,"李建国(山东省)","程安东","陕西省"
310000,2002,"黄菊","陈良宇","上海市"
620000,2002,"宋照肃","陆浩","甘肃省"
320000,2002,"回良玉","季允石","江苏省"
420000,2002,"俞正声","张国光","湖北省"
360000,2002,"孟建柱","黄智权","江西省"
350000,2002,"宋德福","习近平","福建省"
440000,2002,"李长春","卢瑞华","广东省"
120000,2002,"张立昌","李盛霖","天津市"
650000,2002,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,2002,"杨正午","张云川","湖南省"
500000,2002,"贺国强","包叙定","重庆市"
230000,2002,"徐有芳","宋法棠","黑龙江省"
530000,2002,"白恩培","徐荣凯","云南省"
210000,2002,"闻世震","薄熙来","辽宁省"
510000,2002,"周永康","张中伟","四川省"
140000,2002,"田成平","刘振华","山西省"
630000,2002,"苏荣","赵乐际","青海省"
150000,2002,"储波","乌云其木格","内蒙古自治区"
220000,2002,"王云坤","洪虎","吉林省"
330000,2002,"张德江","柴松岳","浙江省"
450000,2002,"曹伯纯","李兆焯","广西壮族自治区"
460000,2002,"白克明","汪啸风","海南省"
540000,2002,"郭金龙","列确","西藏自治区"
640000,2002,"毛如柏","马启智","宁夏回族自治区"
370000,2003,"张高丽","韩寓群","山东省"
520000,2003,"钱运录","石秀诗","贵州省"
410000,2003,"李克强","李成玉","河南省"
340000,2003,"王太华","王金山","安徽省"
110000,2003,"刘淇","孟学农","北京市"
130000,2003,"白克明","季允石","河北省"
610000,2003,"李建国(山东省)","贾治邦","陕西省"
310000,2003,"陈良宇","陈良宇","上海市"
620000,2003,"宋照肃","陆浩","甘肃省"
320000,2003,"李源潮","梁保华","江苏省"
420000,2003,"俞正声","罗清泉","湖北省"
360000,2003,"孟建柱","黄智权","江西省"
350000,2003,"宋德福","卢展工","福建省"
440000,2003,"张德江","黄华华","广东省"
120000,2003,"张立昌","戴相龙","天津市"
650000,2003,"王乐泉","司马义·铁力瓦尔地","新疆维吾尔自治区"
430000,2003,"杨正午","张云川","湖南省"
500000,2003,"黄镇东","王鸿举","重庆市"
230000,2003,"徐有芳","宋法棠","黑龙江省"
530000,2003,"白恩培","徐荣凯","云南省"
210000,2003,"闻世震","薄熙来","辽宁省"
510000,2003,"张学忠","张中伟","四川省"
140000,2003,"田成平","刘振华","山西省"
630000,2003,"苏荣","赵乐际","青海省"
150000,2003,"储波","乌云其木格","内蒙古自治区"
220000,2003,"王云坤","洪虎","吉林省"
330000,2003,"习近平","吕祖善","浙江省"
450000,2003,"曹伯纯","李兆焯","广西壮族自治区"
460000,2003,"王岐山","汪啸风","海南省"
540000,2003,"郭金龙","列确","西藏自治区"
640000,2003,"陈建国","马启智","宁夏回族自治区"
370000,2004,"张高丽","韩寓群","山东省"
520000,2004,"钱运录","石秀诗","贵州省"
410000,2004,"李克强","李成玉","河南省"
340000,2004,"王太华","王金山","安徽省"
110000,2004,"刘淇","王岐山","北京市"
130000,2004,"白克明","季允石","河北省"
610000,2004,"李建国(山东省)","贾治邦","陕西省"
310000,2004,"陈良宇","韩正","上海市"
620000,2004,"苏荣","陆浩","甘肃省"
320000,2004,"李源潮","梁保华","江苏省"
420000,2004,"俞正声","罗清泉","湖北省"
360000,2004,"孟建柱","黄智权","江西省"
350000,2004,"宋德福","卢展工","福建省"
440000,2004,"张德江","黄华华","广东省"
120000,2004,"张立昌","戴相龙","天津市"
650000,2004,"王乐泉","司马义·铁力瓦尔地","新疆维吾尔自治区"
430000,2004,"杨正午","周伯华","湖南省"
500000,2004,"黄镇东","王鸿举","重庆市"
230000,2004,"宋法棠","张左己","黑龙江省"
530000,2004,"白恩培","徐荣凯","云南省"
210000,2004,"闻世震","薄熙来","辽宁省"
510000,2004,"张学忠","张中伟","四川省"
140000,2004,"田成平","张宝顺","山西省"
630000,2004,"赵乐际","杨传堂","青海省"
150000,2004,"储波","杨晶","内蒙古自治区"
220000,2004,"王云坤","洪虎","吉林省"
330000,2004,"习近平","吕祖善","浙江省"
450000,2004,"曹伯纯","陆兵(广西壮族自治区)","广西壮族自治区"
460000,2004,"汪啸风","卫留成","海南省"
540000,2004,"郭金龙","向巴平措","西藏自治区"
640000,2004,"陈建国","马启智","宁夏回族自治区"
370000,2005,"张高丽","韩寓群","山东省"
520000,2005,"钱运录","石秀诗","贵州省"
410000,2005,"徐光春","李成玉","河南省"
340000,2005,"郭金龙","王金山","安徽省"
110000,2005,"刘淇","王岐山","北京市"
130000,2005,"白克明","季允石","河北省"
610000,2005,"李建国(山东省)","陈德铭","陕西省"
310000,2005,"陈良宇","韩正","上海市"
620000,2005,"苏荣","陆浩","甘肃省"
320000,2005,"李源潮","梁保华","江苏省"
420000,2005,"俞正声","罗清泉","湖北省"
360000,2005,"孟建柱","黄智权","江西省"
350000,2005,"卢展工","黄小晶","福建省"
440000,2005,"张德江","黄华华","广东省"
120000,2005,"张立昌","戴相龙","天津市"
650000,2005,"王乐泉","司马义·铁力瓦尔地","新疆维吾尔自治区"
430000,2005,"杨正午","周伯华","湖南省"
500000,2005,"黄镇东","王鸿举","重庆市"
230000,2005,"宋法棠","张左己","黑龙江省"
530000,2005,"白恩培","徐荣凯","云南省"
210000,2005,"李克强","张文岳","辽宁省"
510000,2005,"张学忠","张中伟","四川省"
140000,2005,"田成平","张宝顺","山西省"
630000,2005,"赵乐际","宋秀岩","青海省"
150000,2005,"储波","杨晶","内蒙古自治区"
220000,2005,"王云坤","王珉","吉林省"
330000,2005,"习近平","吕祖善","浙江省"
450000,2005,"曹伯纯","陆兵(广西壮族自治区)","广西壮族自治区"
460000,2005,"汪啸风","卫留成","海南省"
540000,2005,"杨传堂","向巴平措","西藏自治区"
640000,2005,"陈建国","马启智","宁夏回族自治区"
370000,2006,"张高丽","韩寓群","山东省"
520000,2006,"石宗源","石秀诗","贵州省"
410000,2006,"徐光春","李成玉","河南省"
340000,2006,"郭金龙","王金山","安徽省"
110000,2006,"刘淇","王岐山","北京市"
130000,2006,"白克明","季允石","河北省"
610000,2006,"李建国(山东省)","陈德铭","陕西省"
310000,2006,"陈良宇","韩正","上海市"
620000,2006,"苏荣","陆浩","甘肃省"
320000,2006,"李源潮","梁保华","江苏省"
420000,2006,"俞正声","罗清泉","湖北省"
360000,2006,"孟建柱","黄智权","江西省"
350000,2006,"卢展工","黄小晶","福建省"
440000,2006,"张德江","黄华华","广东省"
120000,2006,"张立昌","戴相龙","天津市"
650000,2006,"王乐泉","司马义·铁力瓦尔地","新疆维吾尔自治区"
430000,2006,"张春贤","周伯华","湖南省"
500000,2006,"汪洋","王鸿举","重庆市"
230000,2006,"钱运录","张左己","黑龙江省"
530000,2006,"白恩培","徐荣凯","云南省"
210000,2006,"李克强","张文岳","辽宁省"
510000,2006,"张学忠","张中伟","四川省"
140000,2006,"张宝顺","于幼军","山西省"
630000,2006,"赵乐际","宋秀岩","青海省"
150000,2006,"储波","杨晶","内蒙古自治区"
220000,2006,"王云坤","王珉","吉林省"
330000,2006,"习近平","吕祖善","浙江省"
450000,2006,"曹伯纯","陆兵(广西壮族自治区)","广西壮族自治区"
460000,2006,"汪啸风","卫留成","海南省"
540000,2006,"张庆黎","向巴平措","西藏自治区"
640000,2006,"陈建国","马启智","宁夏回族自治区"
370000,2007,"张高丽","韩寓群","山东省"
520000,2007,"石宗源","林树森","贵州省"
410000,2007,"徐光春","李成玉","河南省"
340000,2007,"郭金龙","王金山","安徽省"
110000,2007,"刘淇","王岐山","北京市"
130000,2007,"白克明","郭茂庚","河北省"
610000,2007,"李建国(山东省)","袁纯清","陕西省"
310000,2007,"韩正","韩正","上海市"
620000,2007,"陆浩","徐守盛","甘肃省"
320000,2007,"李源潮","梁保华","江苏省"
420000,2007,"俞正声","罗清泉","湖北省"
360000,2007,"孟建柱","吴新雄","江西省"
350000,2007,"卢展工","黄小晶","福建省"
440000,2007,"张德江","黄华华","广东省"
120000,2007,"张立昌","戴相龙","天津市"
650000,2007,"王乐泉","司马义·铁力瓦尔地","新疆维吾尔自治区"
430000,2007,"张春贤","周强","湖南省"
500000,2007,"汪洋","王鸿举","重庆市"
230000,2007,"钱运录","张左己","黑龙江省"
530000,2007,"白恩培","秦光荣","云南省"
210000,2007,"李克强","张文岳","辽宁省"
510000,2007,"杜青林","蒋巨峰","四川省"
140000,2007,"张宝顺","于幼军","山西省"
630000,2007,"赵乐际","宋秀岩","青海省"
150000,2007,"储波","杨晶","内蒙古自治区"
220000,2007,"王珉","韩长赋","吉林省"
330000,2007,"习近平","吕祖善","浙江省"
450000,2007,"刘奇葆","陆兵(广西壮族自治区)","广西壮族自治区"
460000,2007,"卫留成","罗保铭","海南省"
540000,2007,"张庆黎","向巴平措","西藏自治区"
640000,2007,"陈建国","马启智","宁夏回族自治区"
370000,2008,"李建国(山东省)","姜大明","山东省"
520000,2008,"石宗源","林树森","贵州省"
410000,2008,"徐光春","李成玉","河南省"
340000,2008,"王金山","王三运","安徽省"
110000,2008,"刘淇","郭金龙","北京市"
130000,2008,"张云川","郭茂庚","河北省"
610000,2008,"赵乐际","袁纯清","陕西省"
310000,2008,"俞正声","韩正","上海市"
620000,2008,"陆浩","徐守盛","甘肃省"
320000,2008,"梁保华","罗志军","江苏省"
420000,2008,"罗清泉","李鸿忠","湖北省"
360000,2008,"苏荣","吴新雄","江西省"
350000,2008,"卢展工","黄小晶","福建省"
440000,2008,"汪洋","黄华华","广东省"
120000,2008,"张高丽","黄兴国","天津市"
650000,2008,"王乐泉","努尔·白克力","新疆维吾尔自治区"
430000,2008,"张春贤","周强","湖南省"
500000,2008,"薄熙来","王鸿举","重庆市"
230000,2008,"钱运录","栗战书","黑龙江省"
530000,2008,"白恩培","秦光荣","云南省"
210000,2008,"张文岳","陈政高","辽宁省"
510000,2008,"刘奇葆","蒋巨峰","四川省"
140000,2008,"张宝顺","孟学农","山西省"
630000,2008,"强卫","宋秀岩","青海省"
150000,2008,"储波","杨晶","内蒙古自治区"
220000,2008,"王珉","韩长赋","吉林省"
330000,2008,"赵洪祝","吕祖善","浙江省"
450000,2008,"郭声琨","马飚","广西壮族自治区"
460000,2008,"卫留成","罗保铭","海南省"
540000,2008,"张庆黎","向巴平措","西藏自治区"
640000,2008,"陈建国","王正伟","宁夏回族自治区"
370000,2009,"姜异康","姜大明","山东省"
520000,2009,"石宗源","林树森","贵州省"
410000,2009,"徐光春","郭茂庚","河南省"
340000,2009,"王金山","王三运","安徽省"
110000,2009,"刘淇","郭金龙","北京市"
130000,2009,"张云川","胡春华","河北省"
610000,2009,"赵乐际","袁纯清","陕西省"
310000,2009,"俞正声","韩正","上海市"
620000,2009,"陆浩","徐守盛","甘肃省"
320000,2009,"梁保华","罗志军","江苏省"
420000,2009,"罗清泉","李鸿忠","湖北省"
360000,2009,"苏荣","吴新雄","江西省"
350000,2009,"卢展工","黄小晶","福建省"
440000,2009,"汪洋","黄华华","广东省"
120000,2009,"张高丽","黄兴国","天津市"
650000,2009,"王乐泉","努尔·白克力","新疆维吾尔自治区"
430000,2009,"张春贤","周强","湖南省"
500000,2009,"薄熙来","王鸿举","重庆市"
230000,2009,"吉炳轩","栗战书","黑龙江省"
530000,2009,"白恩培","秦光荣","云南省"
210000,2009,"张文岳","陈政高","辽宁省"
510000,2009,"刘奇葆","蒋巨峰","四川省"
140000,2009,"张宝顺","王君","山西省"
630000,2009,"强卫","宋秀岩","青海省"
150000,2009,"储波","巴特尔","内蒙古自治区"
220000,2009,"王珉","韩长赋","吉林省"
330000,2009,"赵洪祝","吕祖善","浙江省"
450000,2009,"郭声琨","马飚","广西壮族自治区"
460000,2009,"卫留成","罗保铭","海南省"
540000,2009,"张庆黎","向巴平措","西藏自治区"
640000,2009,"陈建国","王正伟","宁夏回族自治区"
370000,2010,"姜异康","姜大明","山东省"
520000,2010,"石宗源","林树森","贵州省"
410000,2010,"卢展工","郭茂庚","河南省"
340000,2010,"王金山","王三运","安徽省"
110000,2010,"刘淇","郭金龙","北京市"
130000,2010,"张云川","陈全国","河北省"
610000,2010,"赵乐际","袁纯清","陕西省"
310000,2010,"俞正声","韩正","上海市"
620000,2010,"陆浩","徐守盛","甘肃省"
320000,2010,"梁保华","罗志军","江苏省"
420000,2010,"罗清泉","李鸿忠","湖北省"
360000,2010,"苏荣","吴新雄","江西省"
350000,2010,"孙春兰","黄小晶","福建省"
440000,2010,"汪洋","黄华华","广东省"
120000,2010,"张高丽","黄兴国","天津市"
650000,2010,"王乐泉","努尔·白克力","新疆维吾尔自治区"
430000,2010,"张春贤","周强","湖南省"
500000,2010,"薄熙来","黄奇帆","重庆市"
230000,2010,"吉炳轩","栗战书","黑龙江省"
530000,2010,"白恩培","秦光荣","云南省"
210000,2010,"王珉","陈政高","辽宁省"
510000,2010,"刘奇葆","蒋巨峰","四川省"
140000,2010,"张宝顺","王君","山西省"
630000,2010,"强卫","骆惠宁","青海省"
