oenum,oeschool_ocr,oeschool
1900390,433,433
1900390,1783,1783
3103660,415,415
3236570,2832,2832
3236570,3563,3563
4504348,561,561
4504378,4270,4270
4504380,965,965
4504380,2103,2103
4504380,2285,2285
4622770,1821,1821
4710050,768,768
5339990,2386,2386
5334320,3363,3363
5334320,3893,3893
5340920,4122,4122
1000390,4,4
1002370,1066,1066
1203450,135,135
1203450,233,233
1203450,439,439
1203450,640,640
1203450,706,706
1205940,489,489
1206330,8,8
1206330,70,70
1206330,79,79
1206330,94,94
1206330,171,171
1206330,404,404
1206330,462,462
1206330,509,509
1206330,570,570
1206330,714,714
1207590,29,29
1207590,134,134
1207590,578,578
1207590,596,596
1313110,30,30
1401920,108,108
1401920,4097,4097
1401920,5704,5704
1402640,198,198
1402640,3166,3166
1402640,3322,3322
1402640,3777,3777
1402640,3839,3839
1402640,3987,3987
1402640,5790,5790
1402640,6840,6840
1404440,477,477
1404440,4185,4185
1404440,6022,6022
1404740,515,515
1406450,731,731
1406450,3148,3148
1409390,585,585
1409390,1220,1220
1409390,5763,5763
1409620,970,970
1409620,1242,1242
1409620,1549,1549
1411460,1580,1580
1411460,1648,1648
1414880,598,598
1414880,2265,2265
1414880,3458,3458
1414880,4915,4915
1414880,5305,5305
1414880,5777,5777
1415240,1336,1336
1415240,2392,2392
1415240,2866,2866
1418390,2953,2953
1418390,4477,4477
1422500,344,344
1422500,3243,3243
1422500,3521,3521
1422500,4322,4322
1422500,7002,7002
1422710,59,59
1422710,74,74
1422710,102,102
1422710,217,217
1422710,463,463
1422710,478,478
1422710,501,501
1422710,563,563
1422710,817,817
1422710,858,858
1422710,917,917
1422710,1069,1069
1422710,1328,1328
1422710,1641,1641
1422710,1722,1722
1422710,1951,1951
1422710,2263,2263
1422710,2274,2274
1422710,2339,2339
1422710,2451,2451
1422710,2836,2836
1422710,2924,2924
1422710,3023,3023
1422710,3059,3059
1422710,3150,3150
1422710,3192,3192
1422710,3244,3244
1422710,3702,3702
1422710,3852,3852
1422710,4295,4295
1422710,4575,4575
1422710,4596,4596
1422710,4928,4928
1422710,5091,5091
1422710,5293,5293
1422710,5376,5376
1422710,5590,5590
1422710,5634,5634
1422710,5701,5701
1422710,5756,5756
1422710,6201,6201
1422710,6232,6232
1422710,6302,6302
1422710,6330,6330
1422710,6459,6459
1422710,6465,6465
1422710,6543,6543
1422710,6556,6556
1422710,6568,6568
1422710,6837,6837
1422710,6931,6931
1422710,7059,7059
1426310,1082,1082
1426310,3846,3846
1426310,4508,4508
1427690,1000,4829
1427690,1933,1933
1427690,3178,3178
1427690,3447,3447
1427690,4711,4711
1427690,6940,6940
1428050,945,945
1428050,2200,2200
1428050,4197,4197
1428050,4759,4759
1428050,5965,5965
1429610,1821,1821
1429610,2719,2719
1429610,4953,4953
1429940,575,575
1429940,3203,3203
1429940,5028,5028
1434170,4906,4906
1434170,5689,5689
1434170,5706,5706
1434590,1688,1688
1434590,3618,3618
1434590,3703,3703
1434590,5141,5141
1434590,5712,5712
1434590,6965,6965
1435310,5657,5657
1435310,5980,5980
1435310,5981,5981
1435430,52,52
1435430,1856,1856
1435430,4060,4060
1435430,5988,5988
1435700,6003,6003
1437410,349,349
1437410,4337,4337
1437410,5351,5351
1439420,4698,4698
1439420,6041,6041
1439420,6383,6383
1439420,6833,6833
1502340,197,197
1502340,519,519
1503360,2,2
1503360,322,322
1503360,357,357
1503360,442,442
1503360,576,576
1503360,814,814
1503360,1036,1036
1503360,1089,1089
1503360,1172,1172
1504800,19,19
1504800,45,45
1504800,46,46
1504800,82,82
1504800,371,371
1504800,460,460
1504800,572,572
1504800,628,628
1504800,1184,1184
1600330,74,74
1604920,200,200
1605070,1087,1087
1900180,418,418
1900180,606,606
1900180,770,770
1900180,1107,1107
1900180,1267,1267
1900180,1279,1279
1900180,1451,1451
1900180,1465,1465
1900180,1581,1581
1900180,1753,1753
1900390,1139,1139
1900390,1140,1140
1900390,1141,1141
1900390,1142,1142
1900390,1144,1144
1900390,1146,1146
1900390,1147,1147
1900390,1148,1148
1900390,1149,1149
1900390,1150,1150
1900390,1155,1155
1900390,1156,1156
1901500,253,253
1901500,822,822
1901500,967,967
1901500,1233,1233
1901500,1362,1362
1901500,1368,1368
1901500,1560,1560
1901560,22,22
1901560,152,152
1901560,314,314
1901560,424,424
1901560,453,453
1901560,641,641
1901560,977,977
1901560,985,985
1901560,1256,1256
1901560,1268,1268
1901560,1653,1653
1901560,1735,1735
1901560,1791,1791
2000120,57,57
2000120,122,122
2000120,185,185
2000120,487,487
2000120,499,499
2000120,559,559
2000120,561,561
2000120,725,725
2000120,727,727
2000120,736,736
2000120,757,757
2000120,850,850
2000120,890,890
2000120,918,918
2000120,1039,1039
2000120,1362,1362
2000120,1372,1372
2000120,1434,1434
2000120,1570,1570
2000120,1800,1800
2000120,1866,1866
2000120,1912,1912
2000120,1961,1961
2000120,2017,2017
2000120,2053,2053
2001680,511,511
2001740,89,89
2001740,206,206
2001740,345,345
2001740,385,385
2001740,425,425
2001740,461,461
2001740,543,543
2001740,792,792
2001740,886,886
2001740,1084,1084
2001740,1752,1752
2001740,1755,1755
2001740,1838,1838
2001740,1943,1943
2001740,1957,1957
2001740,2048,2048
2002280,208,208
2002280,260,260
2002280,416,416
2002280,652,652
2002280,840,840
2002280,877,877
2002280,1083,1083
2002280,1293,1293
2002280,1382,1382
2002280,1683,1683
2002280,1690,1690
2002280,1701,1701
2002280,1721,1721
2309930,182,182
2309930,347,347
2309930,465,465
2309930,498,498
2309930,642,642
2309930,683,683
2309930,869,869
2309930,1065,1065
2309930,1145,1145
2309930,1152,1152
2309930,1276,1276
2309930,1340,1340
2309930,1358,1358
2309930,1429,1429
2309930,1433,1433
2309930,1604,1604
2309930,1665,1665
2309930,1860,1860
2309930,1999,1999
2309930,2048,2048
2309930,2071,2071
2309930,2096,2096
2309930,2099,2099
2309930,2191,2191
2309930,2193,2193
2309930,2203,2203
2309930,2274,2274
2309930,2878,2878
2309930,2929,2929
2309930,3028,3028
2309930,3245,3245
2309930,3469,3469
2309930,3479,3479
2309930,3530,3530
2309930,3537,3537
2309930,3579,3579
2309930,3658,3658
2309930,3901,3901
2309930,3995,3995
2309930,4038,4038
2309930,4360,4360
2309930,4470,4470
2309930,4473,4473
2309930,4474,4474
2309930,4481,4481
2314490,1000,1179
2326400,2858,2858
2326880,1940,1940
2326880,1941,1941
2329280,3110,3110
2334410,2955,2955
2334410,3566,3566
2404770,58,58
2404770,196,196
2404770,423,423
2404770,755,755
2404770,844,844
2404770,1035,1035
2404770,1552,1552
2404770,1907,1907
2404770,2055,2055
2404770,2370,2370
2405670,1143,1143
2406840,1381,1381
2408760,1645,1645
2410290,43,43
2410290,300,300
2410290,347,347
2410290,990,990
2410290,1024,1024
2410290,1136,1136
2410290,1460,1460
2410290,2216,2216
2508970,408,408
2508970,473,473
2508970,784,784
2508970,1018,1018
2508970,1307,1307
2508970,1523,1523
2528680,1754,1754
2530930,1760,1760
2607950,54,54
2607950,1464,1464
2607950,1644,1644
2607950,1794,1794
2607950,1901,1901
2611640,1534,1534
2611640,1535,1535
2611640,1536,1536
2611640,1537,1537
2611640,1964,1964
2800840,485,485
2800840,681,681
2800840,694,694
2800840,964,964
2800840,1483,1483
2800840,1822,1822
2801170,15,15
2801170,33,33
2801170,93,93
2801170,142,142
2801170,611,611
2801170,632,632
2801170,896,896
2801170,901,901
2801170,929,929
2801170,959,959
2801170,1151,1151
2801170,1848,1848
2801170,1851,1851
2801170,1976,1976
3102790,203,203
3102790,205,205
3102790,240,240
3102790,393,393
3102790,571,571
3102790,600,600
3102790,699,699
3102790,1059,1059
3102790,1078,1078
3102790,1104,1104
3102790,1893,1893
3102790,2395,2395
3102790,90001,1878
3103150,254,254
3103270,293,293
3103660,414,414
3110890,1998,1998
3111130,2040,2040
3111130,2042,2042
3211580,886,793
3211580,1092,978
3211580,1261,1119
3212000,617,534
3212000,631,560
3212000,739,658
3212000,785,710
3212000,902,811
3212000,1043,934
3212000,1634,1459
3212000,2030,1761
3212000,2304,2017
3212000,2644,3921
3212000,2754,2420
3212000,2757,2424
3212000,2778,2443
3212000,2855,1859
3212000,3015,3918
3212000,3022,2624
3212000,3166,2753
3212000,3540,3012
3212000,3555,3028
3212000,4477,3437
3229460,3167,2754
3232280,2149,1872
3309510,419,419
3321240,329,329
3321240,576,576
3321240,936,936
3321240,1369,1369
3321240,1565,1565
3321240,1848,1848
3321240,1989,1989
3321240,1999,1999
3321240,2214,2214
3321240,2274,2274
3321240,2401,2401
3333840,331,331
3333840,894,894
3333840,950,950
3333840,1012,1012
3333840,1075,1075
3333840,1398,1398
3333840,1454,1454
3333840,1505,1505
3333840,2239,2239
3508250,1040,1040
3514340,1038,1038
3515480,2112,2112
3515480,2289,2289
3516400,362,362
3516400,597,597
3516400,1004,1004
3516400,1218,1218
3516400,1553,1553
3516400,1639,1639
3516400,1925,1925
3516400,1932,1932
3516400,2143,2143
3516400,2251,2251
3516400,2261,2261
3529280,99,99
3529280,364,364
3529280,433,433
3529280,1214,1214
3529280,1369,1369
3529280,1559,1559
3529280,1805,1805
3529280,1911,1911
3529280,1933,1933
3529280,2069,2069
3529280,2146,2146
3530660,2130,2130
3800060,10,10
3800060,20,20
3800060,55,55
3800060,118,118
3800060,146,146
3800060,183,183
3800060,225,225
3800060,231,231
3800060,238,238
4001260,112,112
4003300,401,401
4004230,380,380
4004230,531,531
4007680,1,678
4007830,900,900
4007830,1014,1014
4007830,1212,1212
4007830,2305,2305
4007890,1110,1110
4010560,1480,1480
4011340,67,67
4011340,105,105
4011340,306,306
4011340,537,537
4011340,1904,1904
4011340,2124,2124
4011340,2179,2179
4011430,1520,1520
4012540,1656,2618
4012690,544,544
4012690,1067,1067
4016380,593,593
4016380,2113,2113
4220100,2210,2210
4220580,60,60
4220580,95,95
4220580,156,156
4220580,203,203
4220580,243,243
4220580,349,349
4220580,590,590
4220580,793,793
4220580,990,990
4220580,1013,1013
4220580,1053,1053
4220580,1060,1060
4220580,1077,1077
4220580,1311,1311
4220580,1596,1596
4220580,1603,1603
4220580,1638,1638
4220580,1640,1640
4220580,1902,1902
4220580,2034,2034
4220580,2189,2189
4220580,2323,2323
4220580,3692,3692
4220580,3755,3755
4220580,3907,3907
4220580,4083,4083
4220580,4186,4186
4220580,4399,4399
4220580,4540,4540
4231920,688,688
4231920,1238,1238
4231920,1852,1852
4231920,3816,3816
4231920,4620,4620
4504375,2144,4232
4504375,2488,4190
4504375,5640,24
4504375,10000,1711
4504375,32501,3907
4504375,42000,3683
4504375,70010,4216
4504378,1054,3507
4504378,1063,694
4504378,1064,948
4504378,1066,1368
4504378,1067,1783
4504378,1068,1832
4504378,1069,1838
4504378,1070,1840
4504378,1071,1841
4504378,1179,1786
4504378,1181,2325
4504379,1,1584
4504384,1,3251
4504384,2,2939
4504384,3,2398
4504384,4,1924
4504384,5,1127
4504384,6,882
4504384,7,230
4504384,25,4122
4504384,26,684
4504384,27,3615
4504384,28,3278
4504418,1000,1891
4504418,1001,1892
4504419,10111,1968
4504514,1000,4238
4604110,105,105
4609060,368,368
4622770,220,220
4622770,306,306
4622770,421,421
4622770,443,443
4622770,646,646
4622770,1016,1016
4622770,1149,1149
4622770,1155,1155
4622770,1463,1463
4622770,1490,1490
4625290,1308,1308
4625290,1711,1711
4703930,267,267
4709480,898,898
4710050,206,206
4710050,395,395
4710050,447,447
4710050,556,556
4710050,568,568
4710050,664,664
4710050,704,704
4710050,729,729
4710050,796,796
4710050,1008,1008
4710050,1180,1180
4710050,1242,1242
4710050,1282,1282
4802280,4549,4549
4802280,4728,4728
4803570,1413,1413
4803570,2279,2279
4807980,993,993
4808550,1173,1173
4815720,2758,2758
4819170,49,49
4819170,52,52
4819170,512,512
4819170,892,892
4819170,1286,1286
4819170,1537,1537
4819170,2188,2188
4819170,3159,3159
4819170,3235,3235
4819170,3585,3585
4819170,3661,3661
4819170,3843,3843
4819170,4497,4497
4821090,583,583
4821090,4341,4341
4822830,3968,3968
4826370,4545,4545
4900240,64,64
4900240,65,65
4900330,78,78
4900840,278,278
4900840,308,308
4900900,56,56
4900900,133,133
4900900,339,339
4900900,340,340
5002310,79,79
5002310,98,98
5002310,133,133
5002310,178,178
5002310,216,216
5002310,529,529
5002310,533,533
5002310,584,584
5002310,973,973
5002310,1143,1143
5002310,1257,1257
5002310,1298,1298
5002310,1377,1377
5307590,63,63
5307710,75,75
5307710,1186,1186
5307710,1607,1607
5310230,1825,1825
5310230,3645,3645
5313170,694,694
5316110,1027,1027
5316230,528,528
5316230,1033,1033
5316230,1544,1544
5316230,1802,1802
5316230,1976,1976
5316230,2138,2138
5316230,2153,2153
5316230,2156,2156
5316230,2429,2429
5316230,2617,2617
5316230,3084,3084
5316230,3835,3835
5316230,3971,3971
5316230,4280,4280
5316230,4296,4296
5316230,4584,4584
5316230,4620,4620
5316230,4624,4624
5316230,4885,4885
5317850,1289,1289
5318150,1325,1325
5318150,2266,2266
5318150,2918,2918
5319680,915,915
5319680,2988,2988
5320160,3703,3703
5320250,1615,1615
5320250,5455,5455
5322470,1145,1145
5322470,1855,1855
5323640,29,29
5323640,311,311
5323640,433,433
5323640,600,600
5323640,1405,1405
5323640,1600,1600
5323640,2145,2145
5323640,2152,2152
5323640,2170,2170
5323640,2234,2234
5323640,2334,2334
5323640,2737,2737
5323640,2745,2745
5323640,3321,3321
5323640,3556,3556
5323640,3564,3564
5323640,3821,3821
5323640,3891,3891
5323640,4725,4725
5323640,5252,5252
5324060,1028,1028
5324060,4453,4453
5326160,2445,2445
5327390,2602,2602
5330390,2947,2947
5332940,1185,1185
5332940,3698,3698
5332940,4350,4350
5332940,4860,4860
5333060,230,230
5333060,3079,3079
5333120,2281,2281
5333120,2283,2283
5333120,3282,3282
5334320,3826,3826
5337020,2148,2148
5337020,2475,2475
5337020,3635,3635
5338730,1965,1965
5338730,2728,2728
5338730,3886,3886
5338730,4033,4033
5338730,4354,4354
5338730,4365,4365
5338730,4951,4951
5340680,3841,3841
5340950,4127,4127
5341100,2925,2925
5341100,4152,4152
5341100,4165,4165
5341100,4726,4726
5342480,4344,4344
5342510,4337,4337
5345540,1601,1601
5600810,431,431
5600810,460,460
5600810,734,734
5600810,861,861
5600810,1301,1301
5600810,1928,1928
5600840,1111,1111
5600840,1144,1144
5600840,1162,1162
5600840,1179,1179
5600840,1700,1700
5601800,149,149
5601800,771,771
5601800,964,964
5601800,1342,1342
5602640,465,465
5602640,681,681
5602640,839,839
5602640,850,850
5602640,1248,1248
5602640,1812,1812
5602670,84,84
5602670,728,728
5602670,1002,1002
5602670,1151,1151
5602670,1271,1271
5603240,66,66
5603240,684,684
5603240,928,928
5603240,945,945
5603240,1105,1105
5603240,1711,1711
5603840,107,107
5603840,597,597
5603840,610,610
5603840,626,626
5603840,970,970
5603840,1389,1389
5908520,551,551
5908520,990,990
5908520,1110,1110
5908520,2290,2290
5909810,1443,1443
4822830,3968,3968
5310230,3645,3645
