"distid","distname","regcommand","fraudchi2_total","est_fraud_share","fraudchi2_k","fraudchi2_a","v.elday.pc","v.elday.pc.2","v.2months.pc","v.2months.pc.2","v.elday.pc.lag","numclosedstations","electrified","pce_1000_07","distkabul","elevation"
1208,"Rustaq",3,0,0.00493550021201372,0,0,0,0,0,0,0.00414841364662153,0,0.0808824002742767,3.53774309158325,292.23118695669,1344.72106933594
1209,"Chah Ab",3,0,0,0,0,0,0,0,0,0,0,0.25,5.29804277420044,330.702417806756,1305.73278808594
1210,"Yangi Qala",3,0,0.0102564003318548,0,0,0,0,0.0802214110946212,0.00643547479801221,0,1,0.125,4.86513519287109,326.888141974914,703.210693359375
1211,"Darqad",3,0,0,0,1,0,0,0,0,0,1,0,3.41113805770874,326.865199329109,462.541656494141
1212,"Khwaja Ghar",3,0,0,0,0,0,0,0,0,0.00304497426996742,0,0.3125,3.32421588897705,277.171997341017,632.885192871094
1213,"Baharak",3,0,0,0,0,0,0,0.0139542023080251,0.000194719762053292,0.00304497426996742,0,0.319444388151169,3.20314288139343,256.752914195689,848.880004882812
1214,"Dashti Qala",3,0,0,0,0,0,0,0,0,0,0,0.0625,3.66930794715881,299.426780746473,487.867492675781
1215,"Hazar Sumuch",3,0,0,0,0,0,0,0,0,0,0,0,2.82388401031494,268.470428724469,972.646301269531
1216,"Khwaja Bahawuddin",3,0,0,0,0,0,0,0,0,0,0,0.03125,4.35806798934937,314.311943123853,530.783996582031
1217,"Namak Ab",3,0,0.0329670011997223,0,0,0,0,0,0,0,0,0,4.35919618606567,220.303278935444,2593.88696289062
1301,"Puli Khumri",3,0,0.0185835994780064,0,0,0,0,0.0425932926212445,0.00181418857631896,0.00685748726930578,15,0.762930989265442,5.64043092727661,170.289898094603,866.423706054688
1302,"Puli Hisar",3,0,0.41420578956604,0,0,0,0,0,0,0,1,0.666666686534882,4.32968282699585,122.068471511615,3392.22802734375
1303,"Dahana-I- Ghuri",3,0,0.036888100206852,0,1,0,0,0.00590057530609234,3.48167889428668e-05,0.0026344629910639,1,0.174999997019768,4.91994094848633,156.586020967143,1704.62438964844
1304,"Dushi",3,1,0.0127272997051477,0,1,0.0105378519642556,0.000111046324020566,0.0105378519642556,0.000111046324020566,0,4,0.142857104539871,4.94169807434082,128.859651583483,1791.3330078125
1305,"Tala Wa Barfak",3,0,0.17776520550251,0,0,0,0,0.0616998303254666,0.00380686906219137,0.0175320168956619,0,0.333333313465118,5.17103815078735,109.342501953029,3052.6142578125
1306,"Khinjan",3,0,0.0437824986875057,0,0,0,0,0.057929036929761,0.00335577331960962,0.00210757039285112,0,0.4375,4.47283601760864,105.76216853342,2728.65454101562
1307,"Andarab",3,0,0.0844376012682915,0,0,0,0,0,0,0.00117087244047284,0,1,8.61069107055664,121.806585340071,2436.03344726562
